date,pm25,pm10,o3,no2,so2,co,pm25_predicted,pm10_predicted,o3_predicted,no2_predicted,so2_predicted,co_predicted
2022-10-03,16.0,8.0,9.0,8.0,2.0,3.0,74.3694076538086,29.26369285583496,20.113924145698547,12.389563769102097,1.2605670094490051,6.038795113563538
2022-10-04,23.0,24.0,5.0,11.0,2.0,6.0,74.64291000366211,29.282212257385254,20.080555975437164,12.371363490819931,1.259082555770874,6.050066947937012
2022-10-05,61.0,18.0,1.9999999999999998,9.0,2.0,4.0,74.8937816619873,29.297141075134277,20.048169136047363,12.355037778615952,1.2577053904533386,6.059879660606384
2022-10-06,58.0,18.0,5.0,11.0,2.0,3.5,75.12424278259277,29.309131622314453,20.016744643449783,12.340420484542847,1.2564216554164886,6.068401336669922
2022-10-09,47.5,18.0,7.999999999999999,13.0,2.0,3.0,75.33625030517578,29.318713188171387,19.98627519607544,12.327364087104797,1.255222111940384,6.075780987739563
2022-10-10,37.0,31.0,11.0,15.0,2.0,4.0,75.53153228759766,29.3263578414917,19.956725746393204,12.315738201141357,1.25409796833992,6.082150936126709
2022-10-11,69.0,33.0,11.0,13.0,2.0,5.0,75.71166801452637,29.33243179321289,19.92806562781334,12.305417656898499,1.2530429661273956,6.087629199028015
2022-10-12,79.0,38.0,11.0,12.0,2.0,6.0,75.87803077697754,29.337252616882324,19.90026417374611,12.296290695667267,1.252051591873169,6.092321872711182
2022-10-13,87.0,38.0,11.0,15.0,2.0,4.0,76.03190231323242,29.34107780456543,19.87328341603279,12.288245558738708,1.2511181831359863,6.096320748329163
2022-10-14,89.0,27.0,11.0,11.0,2.0,2.0,76.1744155883789,29.344124794006348,19.847098529338837,12.281182408332825,1.2502379715442657,6.099710464477539
2022-10-15,67.0,18.0,11.0,10.0,2.0,2.0,76.30658340454102,29.34657096862793,19.821674466133118,12.275008857250214,1.2494079768657684,6.102563142776489
2022-10-16,49.0,26.0,11.0,14.000000000000002,2.0,3.0,76.4293212890625,29.348556518554688,19.796987861394882,12.269638478755951,1.2486238777637482,6.104943156242371
2022-10-17,61.0,34.0,11.0,15.0,2.0,4.0,76.54345321655273,29.35019588470459,19.772993445396423,12.264994531869888,1.247883066534996,6.106908321380615
2022-10-18,74.0,29.0,11.0,13.0,2.0,3.0,76.64970016479492,29.35158634185791,19.74968245625496,12.261009961366653,1.2471835315227509,6.10850989818573
2022-10-19,65.0,18.0,11.0,12.0,2.0,3.0,76.74875450134277,29.35279655456543,19.72701108455658,12.257618457078934,1.2465226650238037,6.109792590141296
2022-10-20,47.0,26.0,11.0,12.0,2.0,3.0,76.84122276306152,29.353900909423828,19.704963266849518,12.254761159420013,1.2458978593349457,6.110795736312866
2022-10-21,58.0,30.0,11.0,13.0,2.0,3.0,76.92763710021973,29.354930877685547,19.683508336544037,12.252386659383774,1.245308518409729,6.111555099487305
2022-10-22,68.0,17.0,11.0,8.0,2.0,3.0,77.00850677490234,29.355937957763672,19.66262584924698,12.250445783138275,1.2447519600391388,6.112102270126343
2022-10-23,59.0,17.0,11.0,7.000000000000001,2.0,2.0,77.08428382873535,29.356945037841797,19.642289519309998,12.248896062374115,1.2442261725664139,6.112464666366577
